train/Arcface_loss_epoch,step,epoch,train/Arcface_loss_step
0.8184108734130859,33,0,
,49,1,0.8263522982597351
0.8007702231407166,67,1,
,99,2,0.7574508190155029
0.7741338610649109,101,2,
0.7505469918251038,135,3,
,149,4,0.7592530250549316
0.7387699484825134,169,4,
