epoch,train/Arcface_loss_epoch,step,train/Arcface_loss_step
0,0.7598253488540649,25,
1,,49,0.7412945628166199
1,0.7399007081985474,51,
2,0.7366440296173096,77,
3,,99,0.7606056332588196
3,0.7383756637573242,103,
4,0.7375002503395081,129,
