step,train/Arcface_loss_epoch,epoch,train/Arcface_loss_step
25,0.7752906084060669,0,
49,,1,0.79814213514328
51,0.7634494304656982,1,
77,0.7506596446037292,2,
99,,3,0.7460997104644775
103,0.7439401149749756,3,
129,0.7383893728256226,4,
