epoch,train/Arcface_loss_epoch,step,train/Arcface_loss_step
0,0.7895520925521851,19,
1,0.7820010185241699,39,
2,,49,0.8010949492454529
2,0.769570529460907,59,
3,0.7512962222099304,79,
4,,99,0.7533527612686157
4,0.7445468306541443,99,
